,sample_id,project_id,assembly_id,sample_name,sample_type,environment,isolation_source,technology,latitude_and_longitude,location,country,city,host,species,collected_date,platform,altitude,host_disease,data_type,download
0,CNS0700587,CNP0004049,CNA0054990,GOMC.bin.91,marine metagenome,Ocean,,metagenome,12.55 N 143.39 E,Pacific Ocean,,,,d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__Pacearchaeales;f__GW2011-AR1;g__;s__,2012-09-15,,,,Public,https://ftp.cngb.org/pub/CNSA/data2/CNP0004049/CNS0700587/
1,CNS0700685,CNP0004049,CNA0055088,GOMC.bin.189,marine metagenome,Ocean,,metagenome,3.72 S 151.68 E,Pacific Ocean,,,,d__Bacteria;p__Myxococcota_A;c__UBA796;o__UBA9615;f__UBA9615;g__UBA6601;s__,2011-06-14,,,,Public,https://ftp.cngb.org/pub/CNSA/data2/CNP0004049/CNS0700685/
2,CNS0700815,CNP0004049,CNA0055218,GOMC.bin.319,marine metagenome,Ocean,,metagenome,3.73 S 151.67 E,Pacific Ocean,,,,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Parvibaculales;f__Parvibaculaceae;g__Mf105b01;s__,2011-06-14,,,,Public,https://ftp.cngb.org/pub/CNSA/data2/CNP0004049/CNS0700815/
3,CNS0701005,CNP0004049,CNA0055408,GOMC.bin.509,marine metagenome,Ocean,,metagenome,34.30 N 144.34 E,Pacific Ocean,,,,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Acidiferrobacterales;f__Sulfurifustaceae;g__S146-88;s__,2017-04-28,,,,Public,https://ftp.cngb.org/pub/CNSA/data2/CNP0004049/CNS0701005/
4,CNS0701186,CNP0004049,CNA0055655,GOMC.bin.713,marine metagenome,Ocean,,metagenome,18.37 N 81.80 W,Atlantic Ocean,,,,d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__Pacearchaeales;f__DRVD01;g__;s__,2012-01-17,,,,Public,https://ftp.cngb.org/pub/CNSA/data2/CNP0004049/CNS0701186/
5,CNS0701312,CNP0004049,CNA0055912,GOMC.bin.843,marine metagenome,Ocean,,metagenome,73.76 N 8.46 E,Arctic Ocean,,,,d__Bacteria;p__Planctomycetota;c__Phycisphaerae;o__SM23-33;f__SM23-33;g__HyVt-337;s__HyVt-337 sp011050235,1905-07-02,,,,Public,https://ftp.cngb.org/pub/CNSA/data2/CNP0004049/CNS0701312/
6,CNS0701338,CNP0004049,CNA0055967,GOMC.bin.869,marine metagenome,Ocean,,metagenome,47.76 N 127.76 W,Pacific Ocean,,,,d__Bacteria;p__Acidobacteriota;c__Aminicenantia;o__S016-38;f__;g__;s__,2011-07-12,,,,Public,https://ftp.cngb.org/pub/CNSA/data2/CNP0004049/CNS0701338/
7,CNS0701351,CNP0004049,CNA0056010,GOMC.bin.882,marine metagenome,Ocean,,metagenome,47.76 N 127.76 W,Pacific Ocean,,,,d__Bacteria;p__WOR-3;c__Hydrothermia;o__Hydrothermales;f__;g__;s__,2011-07-12,,,,Public,https://ftp.cngb.org/pub/CNSA/data2/CNP0004049/CNS0701351/
8,CNS0701361,CNP0004049,CNA0056042,GOMC.bin.892,marine metagenome,Ocean,,metagenome,47.76 N 127.76 W,Pacific Ocean,,,,d__Archaea;p__Thermoplasmatota;c__E2;o__UBA202;f__JdFR-43;g__JdFR-43;s__JdFR-43 sp002011355,2011-07-12,,,,Public,https://ftp.cngb.org/pub/CNSA/data2/CNP0004049/CNS0701361/
9,CNS0701443,CNP0004049,CNA0056301,GOMC.bin.980,marine metagenome,Ocean,,metagenome,1.76 N 96.77 E,Indian Ocean,,,,d__Bacteria;p__Patescibacteria;c__Microgenomatia;o__GWA2-44-7;f__UBA8517;g__;s__,2006-10-01,,,,Public,https://ftp.cngb.org/pub/CNSA/data2/CNP0004049/CNS0701443/
