Unnamed: 0,sample_id,project_id,assembly_id,sample_name,latitude_and_longitude,location,species,data_type,download
3040,CNS0704252,CNP0004049,CNA0063565,GOMC.bin.3949,37.29 N 32.28 W,Atlantic Ocean,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__ML635J-15;g__;s__,Public,https://ftp.cngb.org/pub/CNSA/data2/CNP0004049/CNS0704252/
7089,CNS0710116,CNP0004049,CNA0065785,GOMC.bin.11518,50.68 N 3.24 W,Atlantic Ocean,d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Thermosynechococcales;f__Thermosynechococcaceae;g__Acaryochloris;s__,Public,https://ftp.cngb.org/pub/CNSA/data2/CNP0004049/CNS0710116/
2514,CNS0703691,CNP0004049,CNA0060420,GOMC.bin.3388,9.85 N 104.30 W,Pacific Ocean,d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Sulfurimonadaceae;g__S145-25;s__,Public,https://ftp.cngb.org/pub/CNSA/data2/CNP0004049/CNS0703691/
8794,CNS0712980,CNP0004049,CNA0067285,GOMC.bin.14465,29.29 N 92.80 W,Atlantic Ocean,d__Archaea;p__Thermoplasmatota;c__Poseidoniia;o__MGIII;f__CG-Epi1;g__CG-Epi1;s__,Public,https://ftp.cngb.org/pub/CNSA/data2/CNP0004049/CNS0712980/
4003,CNS0705722,CNP0004049,CNA0062117,GOMC.bin.5496,77.90 S 161.57 E,Southern Ocean,d__Bacteria;p__Dormibacterota;c__Dormibacteria;o__Dormibacterales;f__Dormibacteraceae;g__Dormibacter;s__,Public,https://ftp.cngb.org/pub/CNSA/data2/CNP0004049/CNS0705722/
603,CNS0701206,CNP0004049,CNA0055699,GOMC.bin.733,18.38 N 81.80 W,Atlantic Ocean,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Thiotrichales;f__Thiotrichaceae;g__Cocleimonas;s__,Public,https://ftp.cngb.org/pub/CNSA/data2/CNP0004049/CNS0701206/
6145,CNS0708650,CNP0004049,CNA0058271,GOMC.bin.9872,29.46 N 89.88 W,Atlantic Ocean,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__UBA5335;f__UBA5335;g__Macondimonas;s__,Public,https://ftp.cngb.org/pub/CNSA/data2/CNP0004049/CNS0708650/
7148,CNS0710286,CNP0004049,CNA0066493,GOMC.bin.11688,69.23 N 7.73 E,Arctic Ocean,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__UA16;g__UBA8752;s__,Public,https://ftp.cngb.org/pub/CNSA/data2/CNP0004049/CNS0710286/
8454,CNS0712518,CNP0004049,CNA0065736,GOMC.bin.14003,26.28 N 86.81 W,Atlantic Ocean,d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__B4-G1;f__B4-G1;g__;s__,Public,https://ftp.cngb.org/pub/CNSA/data2/CNP0004049/CNS0712518/
9096,CNS0713443,CNP0004049,CNA0067846,GOMC.bin.14928,41.58 N 70.64 W,Atlantic Ocean,d__Bacteria;p__Armatimonadota;c__UBA5377;o__UBA5377;f__UBA5352;g__;s__,Public,https://ftp.cngb.org/pub/CNSA/data2/CNP0004049/CNS0713443/
960,CNS0701704,CNP0004049,CNA0057250,GOMC.bin.1241,73.76 N 8.46 E,Arctic Ocean,d__Bacteria;p__Ratteibacteria;c__UBA8468;o__UBA8468;f__UBA8468;g__;s__,Public,https://ftp.cngb.org/pub/CNSA/data2/CNP0004049/CNS0701704/
1391,CNS0702243,CNP0004049,CNA0060185,GOMC.bin.1780,34.88 S 179.07 E,Pacific Ocean,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Thiotrichales;f__Thiotrichaceae;g__Cocleimonas;s__,Public,https://ftp.cngb.org/pub/CNSA/data2/CNP0004049/CNS0702243/
5986,CNS0708384,CNP0004049,CNA0066060,GOMC.bin.9603,41.69 N 71.42 W,Atlantic Ocean,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__UBA6940;g__;s__,Public,https://ftp.cngb.org/pub/CNSA/data2/CNP0004049/CNS0708384/
9316,CNS0713727,CNP0004049,CNA0068130,GOMC.bin.15227,34.98 N 128.49 E,Pacific Ocean,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__SCGC-AAA160-P02;s__,Public,https://ftp.cngb.org/pub/CNSA/data2/CNP0004049/CNS0713727/
2873,CNS0704081,CNP0004049,CNA0062575,GOMC.bin.3778,21.99 S 176.57 W,Pacific Ocean,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__GCF-002020875;f__GRL18;g__;s__,Public,https://ftp.cngb.org/pub/CNSA/data2/CNP0004049/CNS0704081/
8586,CNS0712683,CNP0004049,CNA0066442,GOMC.bin.14168,10.62 N 65.17 W,Atlantic Ocean,d__Bacteria;p__Myxococcota_A;c__UBA796;o__UBA9615;f__UBA9615;g__UBA6601;s__,Public,https://ftp.cngb.org/pub/CNSA/data2/CNP0004049/CNS0712683/
6722,CNS0716473,CNP0004049,CNA0054767,GOMC.bin.10988,34.65 N 77.11 W,Atlantic Ocean,d__Bacteria;p__Poribacteria;c__DTPJ01;o__DTPJ01;f__WJIO01;g__;s__,Public,https://ftp.cngb.org/pub/CNSA/data2/CNP0004049/CNS0716473/
1227,CNS0702050,CNP0004049,CNA0059069,GOMC.bin.1587,41.77 S 176.08 E,Pacific Ocean,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Nitrosococcales;f__Methylophagaceae;g__GCA-002733105;s__GCA-002733105 sp013139345,Public,https://ftp.cngb.org/pub/CNSA/data2/CNP0004049/CNS0702050/
2840,CNS0704046,CNP0004049,CNA0062400,GOMC.bin.3743,20.76 S 176.19 W,Pacific Ocean,d__Bacteria;p__CAIJMQ01;c__CAIJMQ01;o__JAADFP01;f__JAADFP01;g__JAADFP01;s__,Public,https://ftp.cngb.org/pub/CNSA/data2/CNP0004049/CNS0704046/
7057,CNS0710068,CNP0004049,CNA0065555,GOMC.bin.11470,50.68 N 3.24 W,Atlantic Ocean,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Saprospiraceae;g__;s__,Public,https://ftp.cngb.org/pub/CNSA/data2/CNP0004049/CNS0710068/
883,CNS0701603,CNP0004049,CNA0056831,GOMC.bin.1140,22.80 N 46.05 W,Atlantic Ocean,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__GCA-002770795;g__GCA-2746155;s__GCA-2746155 sp002746155,Public,https://ftp.cngb.org/pub/CNSA/data2/CNP0004049/CNS0701603/
1315,CNS0702156,CNP0004049,CNA0059726,GOMC.bin.1693,34.86 S 179.06 E,Pacific Ocean,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Acidiferrobacterales;f__Sulfurifustaceae;g__S146-88;s__S146-88 sp015492195,Public,https://ftp.cngb.org/pub/CNSA/data2/CNP0004049/CNS0702156/
6649,CNS0716440,CNP0004049,CNA0054734,GOMC.bin.10891,53.99 N 6.89 E,Atlantic Ocean,d__Archaea;p__Thermoplasmatota;c__Poseidoniia;o__Poseidoniales;f__Poseidoniaceae;g__MGIIa-K1;s__,Public,https://ftp.cngb.org/pub/CNSA/data2/CNP0004049/CNS0716440/
3230,CNS0704452,CNP0004049,CNA0064624,GOMC.bin.4149,47.57 N 129.59 W,Pacific Ocean,d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Sulfurovaceae;g__UBA1140;s__,Public,https://ftp.cngb.org/pub/CNSA/data2/CNP0004049/CNS0704452/
2157,CNS0703141,CNP0004049,CNA0057380,GOMC.bin.2838,27.02 N 111.38 W,Pacific Ocean,d__Archaea;p__Thermoproteota;c__Korarchaeia;o__;f__;g__;s__,Public,https://ftp.cngb.org/pub/CNSA/data2/CNP0004049/CNS0703141/
1840,CNS0702946,CNP0004049,CNA0056620,GOMC.bin.2494,27.04 N 111.25 W,Pacific Ocean,d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Sulfurimonadaceae;g__Sulfurimonas;s__,Public,https://ftp.cngb.org/pub/CNSA/data2/CNP0004049/CNS0702946/
4820,CNS0706598,CNP0004049,CNA0057068,GOMC.bin.7771,18.82 S 147.63 E,Pacific Ocean,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudohongiellaceae;g__UBA9145;s__,Public,https://ftp.cngb.org/pub/CNSA/data2/CNP0004049/CNS0706598/
69,CNS0714605,CNP0004049,CNA0052899,GOMC.bin.16105,38.82 N 0.16 E,Atlantic Ocean,d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Cyanobacteriales;f__Xenococcaceae;g__Pleurocapsa;s__,Public,https://ftp.cngb.org/pub/CNSA/data2/CNP0004049/CNS0714605/
